id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
70806563,2026-02-08T09:13:13.000Z,5000000,2083,₹,"10.79130013,78.66960748",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
81339223,2026-01-20T21:30:44.000Z,1500000,1250,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83381613,2026-02-12T16:02:13.000Z,2100000,1750,₹,"10.7489771,78.6472392",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
81335413,2025-12-30T23:36:21.000Z,2070000,1702,₹,"10.943518,78.760989",,,12850,,,West,,Trichy,,"Trichy, Tamil Nadu",,,,
82286709,2026-02-16T09:56:43.000Z,1600000,1219,₹,"10.7520708,78.8279879",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
65564467,2026-03-03T18:13:07.000Z,1800000,167,₹,"10.8044204,78.747485",,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
60141213,2025-12-04T21:30:45.000Z,5500000,4545,₹,,,,,,2,,1,Trichy,2,"Trichy, Tamil Nadu",1210,,12800,
73488499,2026-01-22T05:28:55.000Z,1908000,1590,₹,"10.80883,78.62455",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
77072489,2026-01-07T12:53:28.000Z,10600000,3202,₹,"10.871615,78.717788",,,12850,,,West,,Trichy,,"Trichy, Tamil Nadu",,,,
83674249,2026-03-07T00:45:30.000Z,1330000,1108,₹,"10.80883,78.62455",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
76610533,2026-01-12T21:30:35.000Z,800000,727,₹,,,1000,,2,2,North - East,3,Trichy,3,"Trichy, Tamil Nadu",1100,,12800,
83232803,2026-02-03T06:57:30.000Z,3000000,2500,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
75323883,2025-11-14T04:19:59.000Z,3120000,2600,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
75321613,2025-12-19T10:10:58.000Z,3000000,2000,₹,"10.829778,78.666665",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83095589,2026-01-23T07:26:43.000Z,2190000,1825,₹,,,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82845059,2026-03-06T22:30:40.000Z,780000,1300,₹,"10.708957,78.548362",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
73234229,2026-03-08T12:23:50.000Z,3000000,2500,₹,"10.7489771,78.6472392",,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
80496249,2026-01-08T23:33:05.000Z,65000000,14444,₹,"10.8342957,78.6952047",,3750,,2,3,,,Trichy,5,"Trichy, Tamil Nadu",4500,,12800,
83582433,2026-02-27T10:53:37.000Z,500000,833,₹,"10.7489771,78.6472392",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
73094919,2026-03-08T16:07:52.000Z,15000000,3750,₹,"10.777651,78.811648",,,,,6,East,2,Trichy,6,"Trichy, Tamil Nadu",4000,,12800,
81810669,2026-02-28T03:43:36.000Z,2880000,2400,₹,"10.703275,78.62017",,,12800,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83075039,2026-01-22T03:56:44.000Z,11700000,16714,₹,"10.77458311,78.66430067",,,12850,1,3,,,Trichy,2,"Trichy, Tamil Nadu",700,,12800,
83671279,2026-03-06T13:12:49.000Z,1330000,1108,₹,"10.80883,78.62455",,,12850,,,North - West,,Trichy,,"Trichy, Tamil Nadu",,,,
70611133,2026-02-12T21:30:45.000Z,1018800,849,₹,"10.7489771,78.6472392",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83470423,2026-02-19T07:43:01.000Z,1330800,1109,₹,"10.7801282,78.6083794",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
