City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index,cluster
Kottayam,100.455,18.90873016,400.0,106.2943826548012,4214.0,100.0,150.0,6.5,311.03132530120484,41.18854461929431,106.2943826548012,94.5436508,40.0,162.5,80.0,38.46153846153847,57.6969755674296,77.11,0
Mangaluru,96.12,8.75,450.0,105.68077855036226,4467.0,150.0,250.0,7.0,429.3333333333333,43.66142117095103,105.68077855036226,43.75,45.0,175.0,120.0,64.1025641025641,79.64225088784163,76.59,2
Surat,92.195,15.78947368,300.0,103.08146389715549,3953.0,150.0,260.0,5.2,500.5394736842105,38.637474342684,103.08146389715549,78.9473684,30.0,130.0,120.0,66.66666666666666,92.85114210192414,76.49,2
Thiruvananthapuram,101.97,18.88888889,225.0,105.68077855036226,4135.5,120.0,150.0,6.5,317.4372325249643,40.42126869318737,105.68077855036226,94.44444445,22.5,162.5,96.0,38.46153846153847,58.88528504789284,76.36,0
Indore,99.18,15.0,400.0,101.66027331703611,4167.0,115.0,285.0,6.5,458.23741007194246,40.729156485192064,101.66027331703611,75.0,40.0,162.5,92.0,73.07692307692307,85.00401889552269,76.1,2
Nashik,97.995,20.77777778,200.0,90.94366161057069,4596.5,102.5,260.0,7.5,478.7062937062937,44.927182093636986,90.94366161057069,103.8888889,20.0,187.5,82.0,66.66666666666666,88.80104055499716,75.71,2
Amaravati region,98.365,18.90873016,400.0,105.68077855036226,4018.0,100.0,150.0,3.0,488.75,39.27279835793178,105.68077855036226,94.5436508,40.0,75.0,80.0,38.46153846153847,90.66416953749828,75.65,2
Hubli,96.72,10.88888889,300.0,105.06717444592331,5000.0,100.0,200.0,7.0,354.5151515151515,48.8710780959828,105.06717444592331,54.444444450000006,30.0,175.0,80.0,51.28205128205128,65.76331826205951,75.1,2
Kannur,100.26,18.90873016,200.0,105.68077855036226,3822.5,100.0,150.0,6.5,302.0748663101604,37.36193920437885,105.68077855036226,94.5436508,20.0,162.5,80.0,38.46153846153847,56.03553328319491,74.34,0
Jamnagar,92.255,13.42857143,375.0,104.78297449198062,3103.0,125.0,235.0,5.2,507.89473684210526,30.329391066366924,104.78297449198062,67.14285715,37.5,130.0,100.0,60.256410256410255,94.21555913709608,72.77,2
Ludhiana,92.725,10.66666667,200.0,100.79998719460389,4167.0,125.0,290.0,6.5,452.9625468164794,40.729156485192064,100.79998719460389,53.33333335,20.0,162.5,100.0,74.35897435897436,84.02552048840161,72.5,2
