address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Kolkata, West Bengal",3,1200,,4,"22.4541576880339,88.3908201171807",9800000,5886
"Kolkata, West Bengal",2,,,6,"22.6462838798258,88.4392257996707",6000000,5222
"Kolkata, West Bengal",3,1000,,,"22.48333,88.2682955",3500000,3182
"Kolkata, West Bengal",3,,,7,"22.5752621406664,88.2053157024334",10700000,6837
"Kolkata, West Bengal",2,,,3,,1600000,2623
"Kolkata, West Bengal",3,1150,,4,"22.5037495,88.405559",8500000,6339
"Kolkata, West Bengal",3,,,5,,3500000,3182
"Kolkata, West Bengal",2,660,,9,"22.4989321,88.314684",3400000,4116
"Kolkata, West Bengal",3,972,,14,"22.452025,88.3011729",8100000,6667
"Kolkata, West Bengal",3,1144,,4,"22.4452810259584,88.4146031108378",6200000,4336
"Kolkata, West Bengal",2,754,,5,"22.89249801,88.36920371",2500000,2775
"Kolkata, West Bengal",3,,,3,,4500000,2903
"Kolkata, West Bengal",2,,,3,"22.613443161793,88.4262200281149",3900000,4637
"Kolkata, West Bengal",2,735,,5,"22.61895451,88.33634035",2500000,2994
