id,posted_date,price,price_per_sq_ft,currency,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
40252497,2026-03-25T22:30:41.000Z,5000000,3623,₹,1380,,2,2,East,3,Kanpur,3,"Kanpur, Uttar Pradesh",1380,,12800,
83490333,2026-02-20T10:55:01.000Z,8000000,6159,₹,,,,3,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1299,,12800,
83350187,2026-03-25T22:30:46.000Z,4800000,7385,₹,700,,2,3,West,,Kanpur,3,"Kanpur, Uttar Pradesh",650,,12800,
75778997,2026-03-18T11:16:56.000Z,4600000,4182,₹,1100,,3,2,West,,Kanpur,3,"Kanpur, Uttar Pradesh",1100,,12800,
74870275,2026-01-25T07:59:09.000Z,2500000,3571,₹,,,,2,,3,Kanpur,3,"Kanpur, Uttar Pradesh",700,,12800,
72546379,2026-03-10T09:18:28.000Z,3250000,5206,₹,41,,,1,,3,Kanpur,2,"Kanpur, Uttar Pradesh",58,,12801,
55992635,2026-01-16T13:46:58.000Z,3100000,2818,₹,850,,1,2,East,5,Kanpur,2,"Kanpur, Uttar Pradesh",1100,,12800,
80186033,2026-03-13T22:30:41.000Z,7200000,6000,₹,103,,2,2,East,15,Kanpur,2,"Kanpur, Uttar Pradesh",1200,,12800,
80983379,2026-03-01T22:30:33.000Z,8500000,7083,₹,,,,2,,2,Kanpur,3,"Kanpur, Uttar Pradesh",1200,,12800,
83647619,2026-03-05T09:49:32.000Z,2100000,2800,₹,650,,1,3,East,,Kanpur,3,"Kanpur, Uttar Pradesh",750,,12800,
63875763,2026-03-09T22:30:35.000Z,5000000,4762,₹,900,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
69497797,2026-02-21T22:30:40.000Z,2800000,41176,₹,68,,1,1,South -West,2,Kanpur,3,"Kanpur, Uttar Pradesh",68,,12800,
81048867,2026-03-18T11:11:00.000Z,11500000,15333,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",750,,12800,
55862949,2025-12-31T21:30:34.000Z,7000000,4375,₹,1600,,3,2,East,3,Kanpur,3,"Kanpur, Uttar Pradesh",1600,,12800,
78015535,2025-11-16T17:52:07.000Z,10000000,8333,₹,,,,2,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1200,,12800,
38675835,2025-12-26T21:33:32.000Z,4500000,3462,₹,,,1,3,,,Kanpur,2,"Kanpur, Uttar Pradesh",1300,,12800,
83009433,2026-01-16T18:13:12.000Z,8500000,,₹,1700,,,2,East,1,Kanpur,3,"Kanpur, Uttar Pradesh",,,,
39280943,2026-03-13T21:33:33.000Z,3000000,6024,₹,46,,2,2,East,5,Kanpur,2,"Kanpur, Uttar Pradesh",498,,12800,
83740711,2026-03-11T16:28:46.000Z,8200000,5597,₹,1465,,3,2,,15,Kanpur,3,"Kanpur, Uttar Pradesh",1465,,12800,
82741157,2025-12-27T09:01:08.000Z,5800000,4640,₹,,,2,2,East,14,Kanpur,2,"Kanpur, Uttar Pradesh",1250,,12800,
77925983,2026-03-18T00:20:00.000Z,5200000,3714,₹,1600,,3,2,East,3,Kanpur,3,"Kanpur, Uttar Pradesh",1400,,12800,
74563887,2026-03-18T22:30:37.000Z,23000000,10648,₹,,12851,1,2,,1,Kanpur,3,"Kanpur, Uttar Pradesh",240,,12803,
69281845,2026-03-02T21:32:55.000Z,5000000,5848,₹,,,,3,,5,Kanpur,2,"Kanpur, Uttar Pradesh",95,,12803,
74980713,2026-02-01T07:14:47.000Z,3500000,5002,₹,,,,2,,2,Kanpur,3,"Kanpur, Uttar Pradesh",65,,12801,
76311497,2026-03-17T04:56:22.000Z,6000000,4559,₹,,,,2,,5,Kanpur,2,"Kanpur, Uttar Pradesh",1316,,12800,
42722203,2026-03-11T21:33:47.000Z,5500000,5000,₹,,,,2,,3,Kanpur,3,"Kanpur, Uttar Pradesh",1100,,12800,
44264271,2026-03-15T17:48:45.000Z,3550000,2545,₹,1075,,2,2,East,3,Kanpur,2,"Kanpur, Uttar Pradesh",1395,,12800,
